Vecums;Pavisam2011;Viriesi2011;Sievietes2011;Pavisam2012;Viriesi2012;Sievietes2012;Pavisam2013;Viriesi2013;Sievietes2013;Pavisam2014;Viriesi2014;Sievietes2014;Pavisam2015;Viriesi2015;Sievietes2015
"Pavisam";2074605;947939;1126666;2044813;934812;1110001;2023825;926580;1097245;2001468;917045;1084423;1986096;911207;1074889
"0";19229;9947;9282;18573;9535;9038;19713;10190;9523;20412;10384;10028;21674;11204;10470
"1";21444;10904;10540;19333;10044;9289;18744;9601;9143;19969;10337;9632;20809;10616;10193
"2";23255;11848;11407;21175;10795;10380;19150;9984;9166;18819;9660;9159;20066;10415;9651
"3";22578;11478;11100;22991;11713;11278;20947;10695;10252;19113;9954;9159;18820;9666;9154
"4";21363;10866;10497;22253;11344;10909;22717;11598;11119;20782;10603;10179;19017;9904;9113
"5";20520;10518;10002;21073;10737;10336;21966;11191;10775;22545;11514;11031;20682;10558;10124
"6";19327;9961;9366;20283;10402;9881;20907;10677;10230;21776;11098;10678;22407;11436;10971
"7";19775;10219;9556;19123;9875;9248;20090;10302;9788;20743;10591;10152;21685;11060;10625
"8";18868;9636;9232;19503;10081;9422;18937;9766;9171;19919;10210;9709;20633;10534;10099
"9";18375;9303;9072;18740;9579;9161;19340;10004;9336;18746;9670;9076;19835;10170;9665
"10";18994;9651;9343;18202;9228;8974;18572;9512;9060;19166;9927;9239;18584;9590;8994
"11";18021;9216;8805;18807;9563;9244;18036;9141;8895;18370;9411;8959;19010;9847;9163
"12";17095;8734;8361;17858;9156;8702;18675;9509;9166;17885;9070;8815;18272;9370;8902
"13";17461;9001;8460;16925;8655;8270;17761;9105;8656;18544;9433;9111;17791;9027;8764
"14";18238;9427;8811;17323;8936;8387;16761;8583;8178;17595;9019;8576;18435;9372;9063
"15";19897;10312;9585;18094;9359;8735;17200;8882;8318;16607;8511;8096;17494;8969;8525
"16";21743;11074;10669;19715;10224;9491;17947;9289;8658;17058;8807;8251;16495;8452;8043
"17";24033;12181;11852;21581;10991;10590;19555;10151;9404;17788;9206;8582;16951;8742;8209
"18";27882;14226;13656;23718;12048;11670;21375;10908;10467;19332;10037;9295;17644;9130;8514
"19";28810;14754;14056;27458;14080;13378;23556;11972;11584;21050;10756;10294;19210;9979;9231
"20";30173;15360;14813;28158;14507;13651;27052;13918;13134;23089;11755;11334;20818;10642;10176
"21";30294;15579;14715;29476;15060;14416;27734;14292;13442;26464;13619;12845;22702;11562;11140
"22";31522;16110;15412;29664;15303;14361;29119;14911;14208;27239;14080;13159;26065;13399;12666
"23";32035;16256;15779;30856;15808;15048;29306;15132;14174;28637;14671;13966;26792;13872;12920
"24";31682;16094;15588;31210;15921;15289;30403;15608;14795;28794;14892;13902;28126;14434;13692
"25";30506;15625;14881;30982;15744;15238;30666;15715;14951;29767;15316;14451;28294;14628;13666
"26";30582;15485;15097;29689;15233;14456;30476;15530;14946;29881;15302;14579;29127;15045;14082
"27";30625;15635;14990;29770;15115;14655;29293;15053;14240;29805;15182;14623;29501;15128;14373
"28";28667;14638;14029;29952;15341;14611;29399;14968;14431;28747;14813;13934;29471;15034;14437
"29";27586;14054;13532;27927;14292;13635;29531;15156;14375;28824;14692;14132;28409;14654;13755
"30";27210;13811;13399;27036;13811;13225;27610;14137;13473;29054;14922;14132;28506;14532;13974
"31";26733;13398;13335;26656;13539;13117;26738;13673;13065;27088;13874;13214;28711;14753;13958
"32";26523;13231;13292;26215;13113;13102;26325;13380;12945;26338;13468;12870;26824;13750;13074
"33";27004;13557;13447;26020;12939;13081;25965;12990;12975;25974;13208;12766;26086;13325;12761
"34";27574;13831;13743;26426;13264;13162;25711;12779;12932;25647;12835;12812;25734;13094;12640
"35";28034;13946;14088;27163;13608;13555;26119;13079;13040;25346;12592;12754;25418;12713;12705
"36";28335;14086;14249;27615;13698;13917;26833;13415;13418;25791;12892;12899;25062;12450;12612
"37";28159;13910;14249;27877;13802;14075;27365;13583;13782;26503;13262;13241;25556;12758;12798
"38";28943;14470;14473;27738;13653;14085;27670;13721;13949;27030;13412;13618;26294;13144;13150
"39";29502;14407;15095;28505;14188;14317;27437;13482;13955;27333;13547;13786;26797;13271;13526
"40";28805;14016;14789;29054;14146;14908;28215;14038;14177;27141;13354;13787;27073;13397;13676
"41";28116;13688;14428;28414;13783;14631;28762;13965;14797;27912;13874;14038;26928;13257;13671
"42";28150;13742;14408;27739;13475;14264;28113;13605;14508;28466;13820;14646;27727;13773;13954
"43";27984;13503;14481;27798;13523;14275;27522;13361;14161;27800;13443;14357;28230;13707;14523
"44";28067;13478;14589;27664;13336;14328;27578;13401;14177;27193;13170;14023;27545;13320;14225
"45";27521;13368;14153;27744;13299;14445;27386;13179;14207;27252;13226;14026;26965;13057;13908
"46";28982;13813;15169;27155;13161;13994;27511;13152;14359;27110;13010;14100;27057;13126;13931
"47";29833;14184;15649;28624;13600;15024;26887;13019;13868;27168;12962;14206;26849;12877;13972
"48";30926;14599;16327;29414;13948;15466;28316;13429;14887;26581;12815;13766;26915;12805;14110
"49";31759;14916;16843;30487;14354;16133;29131;13798;15333;28001;13258;14743;26348;12696;13652
"50";31803;14826;16977;31326;14676;16650;30179;14188;15991;28815;13607;15208;27771;13122;14649
"51";31223;14370;16853;31390;14595;16795;30983;14490;16493;29852;13981;15871;28567;13475;15092
"52";31168;14632;16536;30765;14118;16647;31032;14372;16660;30617;14267;16350;29576;13821;15755
"53";30114;13978;16136;30767;14381;16386;30420;13924;16496;30655;14111;16544;30337;14101;16236
"54";28535;12889;15646;29657;13706;15951;30376;14185;16191;30061;13699;16362;30362;13924;16438
"55";28349;12749;15600;28067;12633;15434;29259;13496;15763;29993;13922;16071;29736;13491;16245
"56";27450;12151;15299;27867;12465;15402;27719;12410;15309;28882;13229;15653;29658;13718;15940
"57";25312;11229;14083;26953;11851;15102;27512;12227;15285;27396;12197;15199;28561;13014;15547
"58";25813;11207;14606;24840;10951;13889;26539;11594;14945;27154;11992;15162;27049;11983;15066
"59";25780;11091;14689;25316;10901;14415;24526;10730;13796;26185;11375;14810;26818;11793;15025
"60";25076;10730;14346;25352;10830;14522;24994;10693;14301;24140;10484;13656;25815;11142;14673
"61";26505;10937;15568;24637;10465;14172;24924;10561;14363;24604;10431;14173;23765;10243;13522
"62";24616;10363;14253;26042;10623;15419;24202;10175;14027;24476;10258;14218;24158;10126;14032
"63";22858;9438;13420;24142;10053;14089;25547;10318;15229;23738;9882;13856;24074;9994;14080
"64";20123;8089;12034;22390;9159;13231;23707;9763;13944;25091;10065;15026;23329;9626;13703
"65";18873;7454;11419;19652;7790;11862;21891;8849;13042;23200;9432;13768;24597;9746;14851
"66";19925;7756;12169;18394;7154;11240;19197;7525;11672;21403;8551;12852;22704;9092;13612
"67";20981;8116;12865;19387;7417;11970;17973;6891;11082;18749;7242;11507;20888;8226;12662
"68";22654;8463;14191;20442;7791;12651;18891;7116;11775;17512;6604;10908;18248;6956;11292
"69";24089;9047;15042;21974;8065;13909;19860;7440;12420;18387;6829;11558;17062;6329;10733
"70";23066;8331;14735;23378;8651;14727;21347;7676;13671;19315;7139;12176;17844;6506;11338
"71";23231;8343;14888;22353;7928;14425;22679;8251;14428;20715;7319;13396;18726;6810;11916
"72";22492;7930;14562;22429;7891;14538;21655;7548;14107;21920;7832;14088;20063;6914;13149
"73";21422;7306;14116;21728;7522;14206;21646;7468;14178;20921;7160;13761;21220;7447;13773
"74";19109;6358;12751;20574;6864;13710;20842;7038;13804;20818;7037;13781;20170;6741;13429
"75";17179;5556;11623;18306;5944;12362;19764;6472;13292;19975;6609;13366;20031;6633;13398
"76";14946;4632;10314;16412;5200;11212;17491;5560;11931;18884;6045;12839;19129;6182;12947
"77";15086;4648;10438;14198;4272;9926;15637;4854;10783;16654;5175;11479;18032;5647;12385
"78";15241;4460;10781;14170;4239;9931;13396;3929;9467;14828;4509;10319;15769;4774;10995
"79";14148;4208;9940;14317;4079;10238;13334;3886;9448;12574;3599;8975;13978;4131;9847
"80";13513;3864;9649;13239;3833;9406;13320;3692;9628;12493;3569;8924;11769;3257;8512
"81";11979;3372;8607;12551;3486;9065;12224;3455;8769;12350;3321;9029;11674;3243;8431
"82";11594;2999;8595;11021;3024;7997;11502;3097;8405;11287;3093;8194;11392;2989;8403
"83";10174;2621;7553;10561;2628;7933;10043;2677;7366;10537;2780;7757;10337;2745;7592
"84";8550;1731;6819;9167;2276;6891;9516;2308;7208;9041;2326;6715;9580;2449;7131
"85";7385;1426;5959;7644;1492;6152;8174;1970;6204;8562;2036;6526;8092;2042;6050
"86";6017;1082;4935;6524;1222;5302;6677;1257;5420;7249;1692;5557;7605;1756;5849
"87";5192;924;4268;5284;933;4351;5611;1020;4591;5763;1041;4722;6309;1434;4875
"88";3972;699;3273;4478;772;3706;4526;795;3731;4745;841;3904;4996;870;4126
"89";2957;553;2404;3310;557;2753;3779;629;3150;3867;662;3205;3997;684;3313
"90";1971;376;1595;2467;456;2011;2712;435;2277;3119;518;2601;3219;542;2677
"91";1406;266;1140;1593;296;1297;2004;358;1646;2223;354;1869;2531;417;2114
"92";1189;214;975;1140;214;926;1255;237;1018;1547;268;1279;1769;280;1489
"93";669;132;537;904;164;740;870;152;718;976;180;796;1195;205;990
"94";543;93;450;474;98;376;655;109;546;653;108;545;725;124;601
"95";444;70;374;392;69;323;354;76;278;482;70;412;483;75;408
"96";415;79;336;312;48;264;268;48;220;249;51;198;357;45;312
"97";270;52;218;283;52;231;210;32;178;178;29;149;172;40;132
"98";184;22;162;185;36;149;200;33;167;143;21;122;127;26;101
"99";120;12;108;125;16;109;113;24;89;133;19;114;92;12;80
"100+";154;19;135;178;17;161;168;18;150;163;20;143;194;21;173
"0-4";107869;55043;52826;104325;53431;50894;101271;52068;49203;99095;50938;48157;100386;51805;48581
"5-9";96865;49637;47228;98722;50674;48048;101240;51940;49300;103729;53083;50646;105242;53758;51484
"10-14";89809;46029;43780;89115;45538;43577;89805;45850;43955;91560;46860;44700;92092;47206;44886
"15-19";122365;62547;59818;110566;56702;53864;99633;51202;48431;91835;47317;44518;87794;45272;42522
"20-24";155706;79399;76307;149364;76599;72765;143614;73861;69753;134223;69017;65206;124503;63909;60594
"25-29";147966;75437;72529;148320;75725;72595;149365;76422;72943;147024;75305;71719;144802;74489;70313
"30-34";135044;67828;67216;132353;66666;65687;132349;66959;65390;134101;68307;65794;135861;69454;66407
"35-39";142973;70819;72154;138898;68949;69949;135424;67280;68144;132003;65705;66298;129127;64336;64791
"40-44";141122;68427;72695;140669;68263;72406;140190;68370;71820;138512;67661;70851;137503;67454;70049
"45-49";149021;70880;78141;143424;68362;75062;139231;66577;72654;136112;65271;70841;134134;64561;69573
"50-54";152843;70695;82148;153905;71476;82429;152990;71159;81831;150000;69665;80335;146613;68443;78170
"55-59";132704;58427;74277;133043;58801;74242;135555;60457;75098;139610;62715;76895;141822;63999;77823
"60-64";119178;49557;69621;122563;51130;71433;123374;51510;71864;122049;51120;70929;121141;51131;70010
"65-69";106522;40836;65686;99849;38217;61632;97812;37821;59991;99251;38658;60593;103499;40349;63150
" >70";274618;82378;192240;279697;84279;195418;281972;85104;196868;282364;85423;196941;281577;85041;196536
