School,Municipality
Priežmalas pamatskola,Aglonas novads
Šķeltovas pamatskola,Aglonas novads
Aglonas vidusskola,Aglonas novads
Aglonas Katoļu ģimnāzija,Aglonas novads
Aglonas internātvidusskola,Aglonas novads
Aizkraukles 1. vidusskola,Aizkraukles novads
Aizkraukles Vakara (maiņu) vidusskola,Aizkraukles novads
Aizkraukles novada ģimnāzija,Aizkraukles novads
Aizkraukles Profesionālā vidusskola,Aizkraukles novads
Aizputes pagasta pamatskola,Aizputes novads
Apriķu pamatskola,Aizputes novads
Dzērves pamatskola,Aizputes novads
Kalvenes pamatskola,Aizputes novads
Māteru Jura Kazdangas pamatskola,Aizputes novads
Aizputes vidusskola,Aizputes novads
Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,Aizputes novads
Cīravas Profesionālā vidusskola,Aizputes novads
Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,Aizputes novads
Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,Aizputes novads
Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,Aizputes novads
Asares pamatskola,Aknīstes novads
Aknīstes vidusskola,Aknīstes novads
Ozolmuižas pamatskola,Alojas novads
Puikules pamatskola,Alojas novads
Alojas Ausekļa vidusskola,Alojas novads
Staiceles vidusskola,Alojas novads
Alsungas vidusskola,Alsungas novads
Bejas pamatskola,Alūksnes novads
Ilzenes pamatskola,Alūksnes novads
Jaunlaicenes pamatskola,Alūksnes novads
Malienas pamatskola,Alūksnes novads
Mālupes pamatskola,Alūksnes novads
Mārkalnes pamatskola,Alūksnes novads
Strautiņu pamatskola,Alūksnes novads
Ziemeru pamatskola,Alūksnes novads
Jaunannas Mūzikas un mākslas pamatskola,Alūksnes novads
Pededzes pamatskola,Alūksnes novads
Liepnas vidusskola,Alūksnes novads
Alūksnes novada vidusskola,Alūksnes novads
Ernsta Glika Alūksnes Valsts ģimnāzija,Alūksnes novads
Alsviķu Profesionālā skola,Alūksnes novads
Liepnas internātpamatskola,Alūksnes novads
Amatas pamatskola,Amatas novads
Sērmūkšu pamatskola,Amatas novads
Skujenes pamatskola,Amatas novads
Zaubes pamatskola,Amatas novads
Nītaures vidusskola,Amatas novads
Drabešu internātpamatskola,Amatas novads
"Sikšņu pamatskola (Apes nov.)",Apes novads
Trapenes pamatskola,Apes novads
Dāvja Ozoliņa Apes vidusskola,Apes novads
Ojāra Vācieša Gaujienas vidusskola,Apes novads
Gaujienas speciālā internātpamatskola,Apes novads
Auces vidusskola,Auces novads
Bēnes vidusskola,Auces novads
Privātā vidusskola Ādažu Brīvā Valdorfa skola,Ādažu novads
"Ādažu Valdorfa skola",Ādažu novads
Ādažu vidusskola,Ādažu novads
Babītes vidusskola,Babītes novads
Baldones Mūzikas pamatskola,Baldones novads
Baldones vidusskola,Baldones novads
Baltinavas vidusskola,Baltinavas novads
Briežuciema pamatskola,Balvu novads
Stacijas pamatskola,Balvu novads
Balvu pamatskola,Balvu novads
Balvu Amatniecības vidusskola,Balvu novads
Bērzpils vidusskola,Balvu novads
Tilžas vidusskola,Balvu novads
Balvu Valsts ģimnāzija,Balvu novads
Tilžas internātpamatskola,Balvu novads
Bauskas pilsētas pamatskola,Bauskas novads
Codes pamatskola,Bauskas novads
Griķu pamatskola,Bauskas novads
Jaunsaules pamatskola,Bauskas novads
Mežgaļu pamatskola,Bauskas novads
Mežotnes pamatskola,Bauskas novads
Ozolaines pamatskola,Bauskas novads
Vecsaules pamatskola,Bauskas novads
Īslīces vidusskola,Bauskas novads
Uzvaras vidusskola,Bauskas novads
Bauskas 2. vidusskola,Bauskas novads
Bauskas Valsts ģimnāzija,Bauskas novads
Bauskas sākumskola,Bauskas novads
Mežotnes internātvidusskola,Bauskas novads
J. Endzelīna Kauguru pamatskola,Beverīnas novads
J.Endzelīna Kauguru pamatskola,Beverīnas novads
Trikātas pamatskola,Beverīnas novads
Blīdenes pamatskola,Brocēnu novads
Gaiķu pamatskola,Brocēnu novads
Remtes pamatskola,Brocēnu novads
Brocēnu vidusskola,Brocēnu novads
Ēveles pamatskola,Burtnieku novads
Matīšu pamatskola,Burtnieku novads
Rencēnu pamatskola,Burtnieku novads
Burtnieku Ausekļa vidusskola,Burtnieku novads
Carnikavas pamatskola,Carnikavas novads
Cesvaines vidusskola,Cesvaines novads
Cesvaines internātpamatskola,Cesvaines novads
Cēsu 1. pamatskola,Cēsu novads
Cēsu 2. pamatskola,Cēsu novads
Cēsu pilsētas pamatskola,Cēsu novads
Līvu pamatskola,Cēsu novads
Rāmuļu pamatskola,Cēsu novads
Cēsu 2. vidusskola,Cēsu novads
Cēsu 2. vakara (maiņu) vidusskola,Cēsu novads
Cēsu Valsts ģimnāzija,Cēsu novads
Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,Cēsu novads
Alfrēda Kalniņa Cēsu Mūzikas vidusskola,Cēsu novads
Cēsu 2. vidusskolas Vecpiebalgas konsultpunkts,Cēsu novads
Cēsu Profesionālā vidusskola,Cēsu novads
Cirmas pamatskola,Ciblas novads
Pušmucovas pamatskola,Ciblas novads
Šķaunes pamatskola,Dagdas novads
Andrupenes pamatskola,Dagdas novads
Andzeļu pamatskola,Dagdas novads
Asūnes pamatskola,Dagdas novads
Ezernieku vidusskola,Dagdas novads
Dagdas vidusskola,Dagdas novads
Naujenes pamatskola,Daugavpils novads
Nīcgales pamatskola,Daugavpils novads
Skrudalienas pamatskola,Daugavpils novads
Biķernieku pamatskola,Daugavpils novads
Birznieku pamatskola,Daugavpils novads
Randenes pamatskola,Daugavpils novads
Tabores pamatskola,Daugavpils novads
Kalupes pamatskola,Daugavpils novads
Lāču pamatskola,Daugavpils novads
Vaboles vidusskola,Daugavpils novads
Zemgales vidusskola (Daugavpils nov.),Daugavpils novads
Daugavpils Vienības pamatskola,Daugavpils
Daugavpils 11. pamatskola,Daugavpils
Daugavpils Saskaņas pamatskola,Daugavpils
Daugavpils 12. vidusskola,Daugavpils
Daugavpils 10. vidusskola,Daugavpils
Daugavpils 15. vidusskola,Daugavpils
Daugavpils Krievu vidusskola - licejs,Daugavpils
J. Raiņa Daugavpils 6. vidusskola,Daugavpils
Daugavpils Centra vidusskola,Daugavpils
Daugavpils 13. vidusskola,Daugavpils
Daugavpils 16. vidusskola,Daugavpils
Daugavpils 17. vidusskola,Daugavpils
Daugavpils 3. vidusskola,Daugavpils
Daugavpils 9. vidusskola,Daugavpils
J.Pilsudska Daugavpils valsts poļu ģimnāzija,Daugavpils
Daugavpils Valsts ģimnāzija,Daugavpils
Daugavpils Celtnieku profesionālā vidusskola,Daugavpils
Daugavpils Mūzikas vidusskola,Daugavpils
Daugavpils Valsts tehnikums,Daugavpils
Daugavpils logopēdiskā internātpamatskola - attīstības centrs,Daugavpils
Dobeles Kristīgā pamatskola,Dobeles novads
Bikstu pamatskola,Dobeles novads
Gardenes pamatskola,Dobeles novads
Krimūnu pamatskola,Dobeles novads
Naudītes pamatskola,Dobeles novads
Penkules pamatskola,Dobeles novads
Annenieku pamatskola,Dobeles novads
Lejasstrazdu pamatskola,Dobeles novads
Dobeles 1. vidusskola,Dobeles novads
Dobeles Valsts ģimnāzija,Dobeles novads
Dobeles Amatniecības un vispārizglītojošā vidusskola,Dobeles novads
Apguldes Profesionālā vidusskola,Dobeles novads
Kolkas pamatskola,Dundagas novads
Dundagas vidusskola,Dundagas novads
Ata Kronvalda Durbes vidusskola,Durbes novads
"A. Kronvalda Durbes vidusskola",Durbes novads
Lapmežciema pamatskola,Engures novads
Smārdes pamatskola,Engures novads
Engures vidusskola,Engures novads
Jāņa Zālīša Sausnējas pamatskola,Ērgļu novads
Ērgļu vidusskola,Ērgļu novads
Garkalnes vidusskola,Garkalnes novads
Berģu Mūzikas un mākslas pamatskola,Garkalnes novads
Bārtas pamatskola,Grobiņas novads
Gaviezes pamatskola,Grobiņas novads
Kapsēdes pamatskola,Grobiņas novads
Grobiņas pamatskola,Grobiņas novads
Grobiņas sākumskola,Grobiņas novads
Grobiņas ģimnāzija,Grobiņas novads
Daukstes pamatskola,Gulbenes novads
Druvienas pamatskola,Gulbenes novads
Galgauskas pamatskola,Gulbenes novads
K. Valdemāra pamatskola,Gulbenes novads
Litenes pamatskola,Gulbenes novads
Rankas pamatskola,Gulbenes novads
Stāķu pamatskola,Gulbenes novads
Stāmerienas pamatskola,Gulbenes novads
Tirzas pamatskola,Gulbenes novads
Gulbenes 2. vidusskola,Gulbenes novads
Gulbenes vidusskola,Gulbenes novads
Gulbenes Bērzu sākumskola,Gulbenes novads
Gulbīša vidusskola,Gulbenes novads
Lejasciema vidusskola,Gulbenes novads
Lizuma vidusskola,Gulbenes novads
Gulbenes Vakara (maiņu) vidusskola,Gulbenes novads
Gulbenes novada valsts ģimnāzija,Gulbenes novads
Rankas Profesionālā vidusskola,Gulbenes novads
Dzimtmisas pamatskola,Iecavas novads
Iecavas vidusskola,Iecavas novads
Iecavas internātpamatskola,Iecavas novads
Tīnūžu pamatskola,Ikšķiles novads
Ikšķiles vidusskola,Ikšķiles novads
Subates pamatskola,Ilūkstes novads
"Eglaines pamatskola (Ilūkstes nov.)",Ilūkstes novads
Ilūkstes 1. vidusskola,Ilūkstes novads
Bebrenes vidusskola,Ilūkstes novads
Ilūkstes Sadraudzības vidusskola,Ilūkstes novads
Bebrenes Profesionālā vidusskola,Ilūkstes novads
Inčukalna pamatskola,Inčukalna novads
Vangažu vidusskola,Inčukalna novads
Daudzeses pamatskola,Jaunjelgavas novads
Seces pagasta pamatskola,Jaunjelgavas novads
Sunākstes pamatskola,Jaunjelgavas novads
Jaunjelgavas vidusskola,Jaunjelgavas novads
Jaunpiebalgas vidusskola,Jaunpiebalgas novads
Jaunpils vidusskola,Jaunpils novads
Platones pamatskola,Jelgavas novads
Aizupes pamatskola,Jelgavas novads
Sesavas pamatskola,Jelgavas novads
Svētes pamatskola,Jelgavas novads
Vilces pamatskola,Jelgavas novads
Zaļenieku pamatskola,Jelgavas novads
Šķibes pamatskola,Jelgavas novads
Elejas vidusskola,Jelgavas novads
Kalnciema vidusskola,Jelgavas novads
Līvbērzes vidusskola,Jelgavas novads
Staļģenes vidusskola,Jelgavas novads
Vircavas vidusskola,Jelgavas novads
Kalnciema pagasta vidusskola,Jelgavas novads
Jelgavas novada Neklātienes vidusskolas Zaļenieku konsult. punkts,Jelgavas novads
Jelgavas 2. pamatskola,Jelgava
Jelgavas 4. vidusskola,Jelgava
Jelgavas 5. vidusskola,Jelgava
Jelgavas 6. vidusskola,Jelgava
Jelgavas Vakara (maiņu) vidusskola,Jelgava
Jelgavas 1. ģimnāzija,Jelgava
Jelgavas Spīdolas ģimnāzija,Jelgava
Jelgavas Valsts ģimnāzija,Jelgava
Jelgavas Amatu vidusskola,Jelgava
Jelgavas 1.speciālā internātpamatskola,Jelgava
Ābeļu pamatskola,Jēkabpils novads
Bērzgala pamatskola,Jēkabpils novads
Dignājas pamatskola,Jēkabpils novads
Dunavas pamatskola,Jēkabpils novads
Rubeņu pamatskola,Jēkabpils novads
Zasas vidusskola,Jēkabpils novads
Jēkabpils 3. vidusskola,Jēkabpils
Jēkabpils Valsts ģimnāzija,Jēkabpils
Jēkabpils pamatskola,Jēkabpils
Jūrmalas Alternatīvā skola,Jūrmala
Slokas pamatskola,Jūrmala
Vaivaru pamatskola,Jūrmala
Ķemeru vidusskola,Jūrmala
Pumpuru vidusskola,Jūrmala
Majoru vidusskola,Jūrmala
Jūrmalas pilsētas Kauguru vidusskola,Jūrmala
Jūrmalas pilsētas Mežmalas vidusskola,Jūrmala
Jūrmalas pilsētas Jaundubultu vidusskola,Jūrmala
Jūrmalas pilsētas Lielupes vidusskola,Jūrmala
Jūrmalas vakara vidusskola,Jūrmala
Murjāņu sporta ģimnāzija Jūrmalas filiāle,Jūrmala
Jūrmalas Valsts ģimnāzija,Jūrmala
Cēres pamatskola,Kandavas novads
Kandavas novada Zantes pamatskola,Kandavas novads
Zemītes pamatskola,Kandavas novads
Kandavas Kārļa Mīlenbaha vidusskola,Kandavas novads
Kandavas internātvidusskola,Kandavas novads
Mērdzenes pamatskola,Kārsavas novads
Salnavas pamatskola,Kārsavas novads
Kārsavas vidusskola,Kārsavas novads
Bebru pamatskola,Kokneses novads
Pērses pamatskola,Kokneses novads
Ilmāra Gaiša Kokneses vidusskola,Kokneses novads
Bebru internātvidusskola,Kokneses novads
Krāslavas pamatskola,Krāslavas novads
Aulejas pamatskola,Krāslavas novads
Izvaltas pamatskola,Krāslavas novads
Robežnieku pamatskola,Krāslavas novads
Krāslavas gr. Plāteru v.n. Poļu pamatskola,Krāslavas novads
Krāslavas Varavīksnes vidusskola,Krāslavas novads
Krāslavas Valsts ģimnāzija,Krāslavas novads
Garlība Merķeļa Lēdurgas pamatskola,Krimuldas novads
Turaidas pamatskola,Krimuldas novads
Krimuldas vidusskola,Krimuldas novads
Krustpils pamatskola,Krustpils novads
Liepenes pamatskola,Krustpils novads
Sūnu pamatskola,Krustpils novads
Mežāres pamatskola,Krustpils novads
Vīpes pamatskola,Krustpils novads
Brāļu Skrindu Atašienes vidusskola,Krustpils novads
Kuldīgas pamatskola,Kuldīgas novads
Ēdoles pamatskola,Kuldīgas novads
Laidu pamatskola,Kuldīgas novads
Turlavas pamatskola,Kuldīgas novads
Vārmes pamatskola,Kuldīgas novads
Vilgāles pamatskola,Kuldīgas novads
Z.A. Meierovica Kabiles pamatskola,Kuldīgas novads
Kuldīgas 2. vidusskola,Kuldīgas novads
Kuldīgas Centra vidusskola,Kuldīgas novads
Kuldīgas Mākslas un humanitāro zinību vidusskola,Kuldīgas novads
V. Plūdoņa Kuldīgas ģimnāzija,Kuldīgas novads
Birzgales pamatskola,Ķeguma novads
Ķeguma komercnovirziena vidusskola,Ķeguma novads
"Privātā pamatskola ""Gaismas tilts 97""",Ķekavas novads
Baložu vidusskola,Ķekavas novads
Lēdmanes pamatskola,Lielvārdes novads
Lielvārdes pamatskola,Lielvārdes novads
Edgara Kauliņa Lielvārdes vidusskola,Lielvārdes novads
Jumpravas vidusskola,Lielvārdes novads
Liepājas Katoļu pamatskola,Liepāja
Liepājas 3. pamatskola,Liepāja
Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,Liepāja
Liepājas 15. vidusskola,Liepāja
Liepājas Raiņa 6. vidusskola,Liepāja
Liepājas 7. vidusskola,Liepāja
Liepājas A. Puškina 2. vidusskola,Liepāja
"Liepājas A.Puškina 2. vidusskola",Liepāja
Liepājas pilsētas 12. vidusskola,Liepāja
Liepājas 8. vidusskola,Liepāja
Liepājas vakara (maiņu) vidusskola,Liepāja
Liepājas Valsts 1. ģimnāzija,Liepāja
"Profesionālās izglītības kompetences centrs ""Liepājas Valsts tehnikums""",Liepāja
Liepājas internātpamatskola,Liepāja
Baumaņu Kārļa Viļķenes pamatskola,Limbažu novads
Lādezera pamatskola,Limbažu novads
Pāles pamatskola,Limbažu novads
Umurgas pamatskola,Limbažu novads
Vidrižu pamatskola,Limbažu novads
Limbažu sākumskola,Limbažu novads
Limbažu 3. vidusskola,Limbažu novads
Limbažu Jauniešu un pieaugušo vakara (maiņu) vidusskola,Limbažu novads
Limbažu novada ģimnāzija,Limbažu novads
Limbažu Profesionālā vidusskola,Limbažu novads
Līgatnes novada vidusskola,Līgatnes novads
Jaunsilavas pamatskola,Līvānu novads
Jersikas pamatskola,Līvānu novads
Rožupes pamatskola,Līvānu novads
Sutru pamatskola,Līvānu novads
Līvānu 1. vidusskola,Līvānu novads
Rudzātu vidusskola,Līvānu novads
Līvānu novada Vakara (maiņu) vidusskola,Līvānu novads
Meirānu Kalpaka pamatskola,Lubānas novads
Lubānas vidusskola,Lubānas novads
Nirzas pamatskola,Ludzas novads
Pildas pamatskola,Ludzas novads
Ludzas 2. vidusskola,Ludzas novads
Istras vidusskola,Ludzas novads
Ludzas pilsētas ģimnāzija,Ludzas novads
Barkavas pamatskola,Madonas novads
Bērzaunes pamatskola,Madonas novads
Degumnieku pamatskola,Madonas novads
Dzelzavas pamatskola,Madonas novads
Kalsnavas pamatskola,Madonas novads
Kristiāna Dāvida pamatskola,Madonas novads
Kusas pamatskola,Madonas novads
Lazdonas pamatskola,Madonas novads
Liezēres pamatskola,Madonas novads
Mārcienas pamatskola,Madonas novads
Mētrienas pamatskola,Madonas novads
Praulienas pamatskola,Madonas novads
Sarkaņu pamatskola,Madonas novads
Vestienas pamatskola,Madonas novads
Madonas pilsētas 1. vidusskola,Madonas novads
Andreja Eglīša Ļaudonas vidusskola,Madonas novads
Madonas pilsētas 2. vidusskola,Madonas novads
Madonas Vakara un neklātienes vidusskola,Madonas novads
Madonas Valsts ģimnāzija,Madonas novads
Barkavas Profesionālā vidusskola,Madonas novads
Mazsalacas vidusskola,Mazsalacas novads
Sidgundas pamatskola,Mālpils novads
Mālpils vidusskola,Mālpils novads
Mālpils internātpamatskola,Mālpils novads
Mārupes pamatskola,Mārupes novads
Mārupes vidusskola,Mārupes novads
Naukšēnu novada vidusskola,Naukšēnu novads
"Sociālās korekcijas izglītības iestāde ""Naukšēni""",Naukšēnu novads
Mazzalves pamatskola,Neretas novads
Sproģu pamatskola,Neretas novads
Neretas Jāņa Jaunsudrabiņa vidusskola,Neretas novads
Nīcas vidusskola,Nīcas novads
Ķeipenes pamatskola,Ogres novads
Ogresgala pamatskola,Ogres novads
Ogres 1. vidusskola,Ogres novads
Madlienas vidusskola,Ogres novads
Suntažu vidusskola,Ogres novads
Taurupes vidusskola,Ogres novads
Ogres 1.vidusskolas vakara un neklātienes nodaļa,Ogres novads
Ogres Valsts ģimnāzija,Ogres novads
Suntažu internātpamatskola - rehabilitācijas centrs,Ogres novads
Olaines 2. vidusskola,Olaines novads
Olaines 1. vidusskola,Olaines novads
Garozas pamatskola,Ozolnieku novads
Teteles pamatskola,Ozolnieku novads
Ozolnieku vidusskola,Ozolnieku novads
Straupes pamatskola,Pārgaujas novads
Stalbes vidusskolas struktūrvienība,Pārgaujas novads
Stalbes vidusskola,Pārgaujas novads
Vērgales pamatskola,Pāvilostas novads
Pāvilostas vidusskola,Pāvilostas novads
Pļaviņu novada ģimnāzija,Pļaviņu novads
Preiļu 1. pamatskola,Preiļu novads
Pelēču pamatskola,Preiļu novads
Priekuļu pamatskola,Preiļu novads
Salas pamatskola,Preiļu novads
Preiļu 2. vidusskola,Preiļu novads
Preiļu novada Vakara (maiņu) un neklātienes vidusskola,Preiļu novads
Gramzdas pamatskola,Priekules novads
Kalētu pamatskola,Priekules novads
Krotes Kronvalda Ata pamatskola,Priekules novads
Virgas pamatskola,Priekules novads
Priekules vidusskola,Priekules novads
Mārsnēnu pamatskola,Priekuļu novads
Liepas pamatskola,Priekuļu novads
Priekuļu vidusskola,Priekuļu novads
"Biedrības ""Tautskola 99 Baltie zirgi"" pamatskola",Raunas novads
Drustu pamatskola,Raunas novads
Raunas vidusskola,Raunas novads
Bērzgales pamatskola,Rēzeknes novads
Gaigalavas pamatskola,Rēzeknes novads
Jaunstrūžānu pamatskola,Rēzeknes novads
Kalnezeru Katoļu pamatskola,Rēzeknes novads
Verēmu pamatskola,Rēzeknes novads
Audriņu pamatskola,Rēzeknes novads
Rikavas pamatskola,Rēzeknes novads
Zarečnajas pamatskola,Rēzeknes novads
Feimaņu pamatskola,Rēzeknes novads
Rēznas pamatskola,Rēzeknes novads
Sakstagala Jāņa Klīdzēja pamatskola,Rēzeknes novads
Dricānu vidusskola,Rēzeknes novads
Lūcijas Rancānes Makašānu Amatu vidusskola,Rēzeknes novads
Maltas 1. vidusskola,Rēzeknes novads
Nautrēnu vidusskola,Rēzeknes novads
Liepu pamatskola,Rēzeknes novads
Tiskādu vidusskola,Rēzeknes novads
Kaunatas vidusskola,Rēzeknes novads
Kruķu pamatskola,Rēzeknes novads
Maltas 2. vidusskola,Rēzeknes novads
Rēzeknes 1. vidusskola,Rēzekne
Rēzeknes 5. vidusskola,Rēzekne
Rēzeknes Katoļu vidusskola,Rēzekne
Rēzeknes 2. vidusskola,Rēzekne
Rēzeknes 4. vidusskola,Rēzekne
Rēzeknes 6. vidusskola,Rēzekne
Rēzeknes 3. vidusskola,Rēzekne
Rēzeknes vakara vidusskola,Rēzekne
Rēzeknes logopēdiskā internātpamatskola,Rēzekne
Rēzeknes sākumskola,Rēzekne
"Rēzeknes Valsts 1. ģimnāzija",Rēzekne
Dravnieku pamatskola,Riebiņu novads
Galēnu pamatskola,Riebiņu novads
Rušonas pamatskola,Riebiņu novads
Sīļukalna pamatskola,Riebiņu novads
Silajāņu pamatskola,Riebiņu novads
Riebiņu vidusskola,Riebiņu novads
"Pamatskola ""Rīdze""",Rīga
Rīgas Centra daiļamatniecības pamatskola,Rīga
Rīgas 24. pamatskola,Rīga
Rīgas Centra humanitārā vidusskola,Rīga
Rīgas Natālijas Draudziņas vidusskola,Rīga
Rīgas 22. vidusskola,Rīga
Rīgas 40. vidusskola,Rīga
Rīgas Raiņa 8. vakara (maiņu) vidusskola,Rīga
Rīgas Valsts 1. ģimnāzija,Rīga
Rīgas Valsts 3. ģimnāzija,Rīga
Rīgas Valdorfskola,Rīga
Iļģuciema vidusskola,Rīga
"Privātā vidusskola ""Patnis""",Rīga
Rīgas 19. vidusskola,Rīga
Rīgas 41. vidusskola,Rīga
Rīgas 69. vidusskola,Rīga
Rīgas Imantas vidusskola,Rīga
"Privātskola ""Latreia""",Rīga
Rīgas 33. vidusskola,Rīga
Rīgas 34. vidusskola,Rīga
Rīgas 54. vidusskola,Rīga
Rīgas 68. vidusskola,Rīga
Rīgas 96. vidusskola,Rīga
Rīgas Daugavgrīvas vidusskola,Rīga
"Privātā vidusskola ""Templum""",Rīga
Rīgas 71. vidusskola,Rīga
Rīgas Anniņmuižas vidusskola,Rīga
Rīgas Ostvalda vidusskola,Rīga
Rīgas Valsts vācu ģimnāzija,Rīga
Emīla Dārziņa mūzikas vidusskola,Rīga
"E. Dārziņa mūzikas vidusskola",Rīga
Rīgas Doma kora skola,Rīga
Andreja Pumpura Rīgas 11. pamatskola,Rīga
A.Pumpura Rīgas 11.pamatskola,Rīga
"O.Kalpaka Rīgas Tautas daiļamatu pamatskola",Rīga
Rīgas Pļavnieku pamatskola,Rīga
"Privātā pamatskola ""Maksima""",Rīga
Jankas Kupalas Rīgas Baltkrievu pamatskola,Rīga
Humanitārā privātģimnāzija,Rīga
Kārļa Videnieka Rīgas 77. vidusskola,Rīga
Rīgas 25. vidusskola,Rīga
Rīgas 6. vidusskola,Rīga
Rīgas 93. vidusskola,Rīga
Rīgas Kristīgā vidusskola,Rīga
Rīgas Lietuviešu vidusskola,Rīga
Habad Ebreju privātā vidusskola,Rīga
"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",Rīga
"Privātā vidusskola ""INNOVA""",Rīga
Rīgas 32. vidusskola,Rīga
Rīgas 51. vidusskola,Rīga
Rīgas 65. vidusskola,Rīga
Rīgas 72. vidusskola,Rīga
